Alien	In Nazi-occupied France during World War II, a plan to assassinate Nazi leaders by a group of Jewish U.S. soldiers coincides with a theatre owner's vengeful plans for the same.	2023-01-28T17:26:29.877Z	detective;sci-fi;fantasy	2023-01-24T17:26:29.879Z	7	https://s1.afisha.ru/mediastorage/e4/c1/aeb9f19a3eca4b229efc0681c1e4.jpg	https://www.imdb.com/video/vi906147865/?playlistId=tt0382932&ref_=tt_ov_vi	Brad Garrett	Christopher Nolan	2h 54	2	userUrl	https://s1.afisha.ru/mediastorage/e4/c1/aeb9f19a3eca4b229efc0681c1e4.jpg	https://s1.afisha.ru/mediastorage/e4/c1/aeb9f19a3eca4b229efc0681c1e4.jpg	#ffffff
Amadeus	A cowboy doll is profoundly threatened and jealous when a new spaceman action figure supplants him as top toy in a boy's bedroom.	2023-01-24T17:26:29.879Z	thriller;detective;sci-fi;fantasy	2023-01-25T17:26:29.879Z	5	https://s1.afisha.ru/mediastorage/e4/c1/aeb9f19a3eca4b229efc0681c1e4.jpg	https://www.imdb.com/video/vi906147865/?playlistId=tt0382932&ref_=tt_ov_vi	Linda Hamilton;Michael Biehn;Paul Winfield	David Fincher	3h 39	4	userUrl	https://s1.afisha.ru/mediastorage/e4/c1/aeb9f19a3eca4b229efc0681c1e4.jpg	https://s1.afisha.ru/mediastorage/e4/c1/aeb9f19a3eca4b229efc0681c1e4.jpg	#000000
Alien	A cowboy doll is profoundly threatened and jealous when a new spaceman action figure supplants him as top toy in a boy's bedroom.	2023-01-27T17:26:29.879Z	drama;thriller;detective;sci-fi;fantasy	2023-01-29T17:26:29.879Z	5	https://s1.afisha.ru/mediastorage/e4/c1/aeb9f19a3eca4b229efc0681c1e4.jpg	https://www.imdb.com/video/vi906147865/?playlistId=tt0382932&ref_=tt_ov_vi	Patton Oswalt;Brian Dennehy;Arnold Schwarzenegger;Linda Hamilton;Michael Biehn	Francis Ford Coppola	2h 31	2	userUrl	https://s1.afisha.ru/mediastorage/e4/c1/aeb9f19a3eca4b229efc0681c1e4.jpg	https://s1.afisha.ru/mediastorage/e4/c1/aeb9f19a3eca4b229efc0681c1e4.jpg	#000000
The Great Dictator	The life, success and troubles of Wolfgang Amadeus Mozart, as told by Antonio Salieri, the contemporaneous composer who was deeply jealous of Mozart's talent and claimed to have murdered him.	2023-01-26T17:26:29.879Z	drama;thriller;detective;sci-fi;fantasy	2023-01-27T17:26:29.879Z	4	https://s1.afisha.ru/mediastorage/e4/c1/aeb9f19a3eca4b229efc0681c1e4.jpg	https://www.imdb.com/video/vi906147865/?playlistId=tt0382932&ref_=tt_ov_vi	Linda Hamilton;Michael Biehn;Paul Winfield	Christopher Nolan	3h 54	5	userUrl	https://s1.afisha.ru/mediastorage/e4/c1/aeb9f19a3eca4b229efc0681c1e4.jpg	https://s1.afisha.ru/mediastorage/e4/c1/aeb9f19a3eca4b229efc0681c1e4.jpg	#000000
Oldeuboi	When their relationship turns sour, a couple undergoes a medical procedure to have each other erased from their memories for ever.	2023-01-27T17:26:29.879Z	comedy;drama;thriller	2023-01-28T17:26:29.879Z	4	https://s1.afisha.ru/mediastorage/e4/c1/aeb9f19a3eca4b229efc0681c1e4.jpg	https://www.imdb.com/video/vi906147865/?playlistId=tt0382932&ref_=tt_ov_vi	Michael Biehn;Paul Winfield	David Fincher	2h 11	4	userUrl	https://s1.afisha.ru/mediastorage/e4/c1/aeb9f19a3eca4b229efc0681c1e4.jpg	https://s1.afisha.ru/mediastorage/e4/c1/aeb9f19a3eca4b229efc0681c1e4.jpg	#ffffff
Oldeuboi	When their relationship turns sour, a couple undergoes a medical procedure to have each other erased from their memories for ever.	2023-01-26T17:26:29.879Z	sci-fi;fantasy	2023-01-26T17:26:29.879Z	2	https://s1.afisha.ru/mediastorage/e4/c1/aeb9f19a3eca4b229efc0681c1e4.jpg	https://www.imdb.com/video/vi906147865/?playlistId=tt0382932&ref_=tt_ov_vi	Arnold Schwarzenegger;Linda Hamilton;Michael Biehn;Paul Winfield	Francis Ford Coppola	1h 17	4	userUrl	https://s1.afisha.ru/mediastorage/e4/c1/aeb9f19a3eca4b229efc0681c1e4.jpg	https://s1.afisha.ru/mediastorage/e4/c1/aeb9f19a3eca4b229efc0681c1e4.jpg	#414122
Django Unchained	A cowboy doll is profoundly threatened and jealous when a new spaceman action figure supplants him as top toy in a boy's bedroom.	2023-01-24T17:26:29.879Z	detective;sci-fi;fantasy	2023-01-24T17:26:29.879Z	6	https://s1.afisha.ru/mediastorage/e4/c1/aeb9f19a3eca4b229efc0681c1e4.jpg	https://www.imdb.com/video/vi906147865/?playlistId=tt0382932&ref_=tt_ov_vi	Brian Dennehy;Arnold Schwarzenegger;Linda Hamilton;Michael Biehn;Paul Winfield	Christopher Nolan	3h 50	2	userUrl	https://s1.afisha.ru/mediastorage/e4/c1/aeb9f19a3eca4b229efc0681c1e4.jpg	https://s1.afisha.ru/mediastorage/e4/c1/aeb9f19a3eca4b229efc0681c1e4.jpg	#414122
Alien	A German U-boat stalks the frigid waters of the North Atlantic as its young crew experience the sheer terror and claustrophobic life of a submariner in World War II.	2023-01-26T17:26:29.880Z	thriller;detective;sci-fi;fantasy	2023-01-28T17:26:29.880Z	5	https://s1.afisha.ru/mediastorage/e4/c1/aeb9f19a3eca4b229efc0681c1e4.jpg	https://www.imdb.com/video/vi906147865/?playlistId=tt0382932&ref_=tt_ov_vi	Brian Dennehy;Arnold Schwarzenegger	Christopher Nolan	2h 31	5	userUrl	https://s1.afisha.ru/mediastorage/e4/c1/aeb9f19a3eca4b229efc0681c1e4.jpg	https://s1.afisha.ru/mediastorage/e4/c1/aeb9f19a3eca4b229efc0681c1e4.jpg	#414122
Schindler's List	In Nazi-occupied France during World War II, a plan to assassinate Nazi leaders by a group of Jewish U.S. soldiers coincides with a theatre owner's vengeful plans for the same.	2023-01-26T17:26:29.880Z	detective;sci-fi;fantasy	2023-01-28T17:26:29.880Z	1	https://s1.afisha.ru/mediastorage/e4/c1/aeb9f19a3eca4b229efc0681c1e4.jpg	https://www.imdb.com/video/vi906147865/?playlistId=tt0382932&ref_=tt_ov_vi	Brian Dennehy;Arnold Schwarzenegger;Linda Hamilton	Francis Ford Coppola	1h 45	3	userUrl	https://s1.afisha.ru/mediastorage/e4/c1/aeb9f19a3eca4b229efc0681c1e4.jpg	https://s1.afisha.ru/mediastorage/e4/c1/aeb9f19a3eca4b229efc0681c1e4.jpg	#ffffff
Schindler's List	In Nazi-occupied France during World War II, a plan to assassinate Nazi leaders by a group of Jewish U.S. soldiers coincides with a theatre owner's vengeful plans for the same.	2023-01-28T17:26:29.880Z	thriller;detective;sci-fi	2023-01-28T17:26:29.880Z	4	https://s1.afisha.ru/mediastorage/e4/c1/aeb9f19a3eca4b229efc0681c1e4.jpg	https://www.imdb.com/video/vi906147865/?playlistId=tt0382932&ref_=tt_ov_vi	Patton Oswalt;Brian Dennehy;Arnold Schwarzenegger;Linda Hamilton	James Cameron	2h 44	6	userUrl	https://s1.afisha.ru/mediastorage/e4/c1/aeb9f19a3eca4b229efc0681c1e4.jpg	https://s1.afisha.ru/mediastorage/e4/c1/aeb9f19a3eca4b229efc0681c1e4.jpg	#ffffff
